TeamID,TeamName,xG_Per_Shot,TiriManual,TiriPortaManual
505,Inter,0.12,,
496,Juventus,0.11,,
499,Atalanta,0.08,,
489,AC Milan,0.15,,
895,Como,0.08,,
502,Fiorentina,0.07,,
492,Napoli,0.1,,
497,AS Roma,0.15,,
503,Torino,0.15,,
495,Genoa,0.08,,
500,Bologna,0.12,,
487,Lazio,0.1,,
488,Sassuolo,0.12,,
494,Udinese,0.09,,
1579,Monza,0.15,10.5,3.6
517,Venezia,0.15,9.5,3.2
490,Cagliari,0.08,,
523,Parma,0.1,,
512,Frosinone,0.12,10.0,3.4
867,Lecce,0.15,,
