TeamID,TeamName,xG_Per_Shot
505,Inter,0.13
496,Juventus,0.12
499,Atalanta,0.12
489,AC Milan,0.13
512,Como,0.12
502,Fiorentina,0.12
492,Napoli,0.12
497,AS Roma,0.12
503,Torino,0.12
520,Genoa,0.11
500,Bologna,0.10
487,Lazio,0.11
488,Sassuolo,0.11
518,Udinese,0.11
513,Pisa,0.12
504,Verona,0.09
523,Cagliari,0.10
514,Parma,0.09
521,Cremonese,0.11
517,Lecce,0.09
